廠商,產品,報價日期,報價次數,簽約年限,報價套數,未稅金額,稅金,含稅金額,未稅總金額,稅金總金額,含稅總金額
大塚,AECC,2023/3/17,第三次,3,4,225750,11288,237038,903000,45150,948150
采威,AECC,2023/4/10,,3,1,220000,11000,27090,220000,11000,231000
朕宏,AECC,2023/3/25,第三次,3,4,293000,14650,307650,1172000,58600,1230600
衛武,AECC,2023/3/25,第三次,3,4,226433,11918,238350,905730,47670,953400
采威,BIM Collaborate,2023/10/3,,1,1,23136,1157,24293,23136,1157,24293
采威,BIM Collaborate,2023/10/3,,3,1,69000,3450,72450,69000,3450,72450
大塚,BIM Collaborate Pro,2024/10/25,第一次,1,7,27085,1354,28439,189595,9478,199073
大塚,BIM Collaborate Pro,2024/10/25,第一次,3,7,76545,3827,80372,535815,26789,562604
大塚,BIM Collaborate Pro,2024/10/28,第二次,1,7,26623,1331,27954,186361,9317,195678
大塚,BIM Collaborate Pro,2024/10/28,第二次,3,7,75183,3759,78942,526281,26313,552594
大塚,BIM Collaborate Pro,2024/10/29,第三次,3,7,74121,3901,78022,518847,27307,546154
大塚,BIM Collaborate Pro,2023/11/16,,1,4,25800,1290,27090,103200,5160,108360
采威,BIM Collaborate Pro,2024/10/24,第一次,1,7,26505,1325,27830,185535,9275,194810
采威,BIM Collaborate Pro,2024/10/24,第一次,3,7,74491,3725,78216,521437,26075,547512
采威,BIM Collaborate Pro,2024/10/30,第二次,3,7,72467,3623,76090,507269,25361,532630
采威,BIM Collaborate Pro,2023/10/3,,1,1,31136,1557,32693,31136,1557,32693
采威,BIM Collaborate Pro,2023/10/3,,3,1,93000,4650,97650,93000,4650,97650
采威,BIM Collaborate Pro,2023/11/15,,1,4,25000,1250,26250,100000,5000,105000
大塚,Build -550,2024/10/25,第一次,1,7,13659,683,14342,95613,4781,100394
大塚,Build -550,2024/10/25,第一次,3,7,40980,2049,43029,286860,14343,301203
大塚,Build -550,2024/10/29,第二次,3,7,40150,2008,42158,281050,14056,295106
采威,Build -550,2024/10/28,第一次,1,7,13430,672,14102,94010,4704,98714
采威,Build -550,2024/10/28,第一次,3,7,40100,2005,42105,280700,14035,294735
采威,Build -550,2024/10/30,第二次,3,7,39098,1955,41053,273686,13685,287371
采威,Build -5000,2023/10/3,,1,1,28542,1427,29969,28542,1427,29969
采威,Build -5000,2023/10/3,,3,1,85500,4275,89775,85500,4275,89775
采威,Build -550,2023/10/3,,1,1,16433,822,17255,16433,822,17255
采威,Build -550,2023/10/3,,3,1,49000,2450,51450,49000,2450,51450
采威,Build Unlimited,2023/10/3,,1,1,53624,2681,56305,53624,2681,56305
采威,Build Unlimited,2023/10/3,,3,1,160000,8000,168000,160000,8000,168000
采威,Docs,2023/10/3,,1,1,16640,832,17472,16640,832,17472
采威,Docs,2023/10/3,,3,1,49900,2495,52395,49900,2495,52395
